,id,'cylinders','displacement','horsepower','weight','acceleration','model','origin','class'
0,1,8,307,130,3504,12,70,1,1
1,2,8,350,165,3693,11.5,70,1,1
2,3,8,318,150,3436,11,70,1,1
3,4,8,304,150,3433,12,70,1,1
4,5,8,302,140,3449,10.5,70,1,1
5,6,8,429,198,4341,10,70,1,1
6,7,8,454,220,4354,9,70,1,0
7,8,8,440,215,4312,8.5,70,1,0
8,9,8,455,225,4425,10,70,1,0
9,10,8,390,190,3850,8.5,70,1,1
10,11,8,383,170,3563,10,70,1,1
11,12,8,340,160,3609,8,70,1,0
12,13,8,400,150,3761,9.5,70,1,1
13,14,8,455,225,3086,10,70,1,0
14,15,4,113,95,2372,15,70,3,2
15,16,6,198,95,2833,15.5,70,1,2
16,17,6,199,97,2774,15.5,70,1,1
17,18,6,200,85,2587,16,70,1,2
18,19,4,97,88,2130,14.5,70,3,3
19,20,4,97,46,1835,20.5,70,2,3
20,21,4,110,87,2672,17.5,70,2,3
21,22,4,107,90,2430,14.5,70,2,2
22,23,4,104,95,2375,17.5,70,2,3
23,24,4,121,113,2234,12.5,70,2,3
24,25,6,199,90,2648,15,70,1,2
25,26,8,360,215,4615,14,70,1,0
26,27,8,307,200,4376,15,70,1,0
27,28,8,318,210,4382,13.5,70,1,0
28,29,8,304,193,4732,18.5,70,1,0
29,30,4,97,88,2130,14.5,71,3,3
30,31,4,140,90,2264,15.5,71,1,3
31,32,4,113,95,2228,14,71,3,3
33,34,6,232,100,2634,13,71,1,1
34,35,6,225,105,3439,15.5,71,1,1
35,36,6,250,100,3329,15.5,71,1,1
36,37,6,250,88,3302,15.5,71,1,1
37,38,6,232,100,3288,15.5,71,1,1
38,39,8,350,165,4209,12,71,1,0
39,40,8,400,175,4464,11.5,71,1,0
40,41,8,351,153,4154,13.5,71,1,0
41,42,8,318,150,4096,13,71,1,0
42,43,8,383,180,4955,11.5,71,1,0
43,44,8,400,170,4746,12,71,1,0
44,45,8,400,175,5140,12,71,1,0
45,46,6,258,110,2962,13.5,71,1,1
46,47,4,140,72,2408,19,71,1,2
47,48,6,250,100,3282,15,71,1,1
48,49,6,250,88,3139,14.5,71,1,1
49,50,4,122,86,2220,14,71,1,2
50,51,4,116,90,2123,14,71,2,3
51,52,4,79,70,2074,19.5,71,2,4
52,53,4,88,76,2065,14.5,71,2,4
53,54,4,71,65,1773,19,71,3,4
54,55,4,72,69,1613,18,71,3,5
55,56,4,97,60,1834,19,71,2,3
56,57,4,91,70,1955,20.5,71,1,3
57,58,4,113,95,2278,15.5,72,3,2
58,59,4,97.5,80,2126,17,72,1,3
59,60,4,97,54,2254,23.5,72,2,2
60,61,4,140,90,2408,19.5,72,1,2
61,62,4,122,86,2226,16.5,72,1,2
62,63,8,350,165,4274,12,72,1,0
63,64,8,400,175,4385,12,72,1,0
64,65,8,318,150,4135,13.5,72,1,1
65,66,8,351,153,4129,13,72,1,0
66,67,8,304,150,3672,11.5,72,1,1
67,68,8,429,208,4633,11,72,1,0
68,69,8,350,155,4502,13.5,72,1,0
69,70,8,350,160,4456,13.5,72,1,0
70,71,8,400,190,4422,12.5,72,1,0
71,72,3,70,97,2330,13.5,72,3,1
72,73,8,304,150,3892,12.5,72,1,1
73,74,8,307,130,4098,14,72,1,0
74,75,8,302,140,4294,16,72,1,0
75,76,8,318,150,4077,14,72,1,0
76,77,4,121,112,2933,14.5,72,2,1
77,78,4,121,76,2511,18,72,2,2
78,79,4,120,87,2979,19.5,72,2,2
79,80,4,96,69,2189,18,72,2,3
80,81,4,122,86,2395,16,72,1,2
81,82,4,97,92,2288,17,72,3,3
82,83,4,120,97,2506,14.5,72,3,2
83,84,4,98,80,2164,15,72,1,3
84,85,4,97,88,2100,16.5,72,3,3
85,86,8,350,175,4100,13,73,1,0
86,87,8,304,150,3672,11.5,73,1,0
87,88,8,350,145,3988,13,73,1,0
88,89,8,302,137,4042,14.5,73,1,0
89,90,8,318,150,3777,12.5,73,1,1
90,91,8,429,198,4952,11.5,73,1,0
91,92,8,400,150,4464,12,73,1,0
92,93,8,351,158,4363,13,73,1,0
93,94,8,318,150,4237,14.5,73,1,0
94,95,8,440,215,4735,11,73,1,0
95,96,8,455,225,4951,11,73,1,0
96,97,8,360,175,3821,11,73,1,0
97,98,6,225,105,3121,16.5,73,1,1
98,99,6,250,100,3278,18,73,1,1
99,100,6,232,100,2945,16,73,1,1
100,101,6,250,88,3021,16.5,73,1,1
101,102,6,198,95,2904,16,73,1,2
102,103,4,97,46,1950,21,73,2,3
103,104,8,400,150,4997,14,73,1,0
104,105,8,400,167,4906,12.5,73,1,0
105,106,8,360,170,4654,13,73,1,0
106,107,8,350,180,4499,12.5,73,1,0
107,108,6,232,100,2789,15,73,1,1
108,109,4,97,88,2279,19,73,3,2
109,110,4,140,72,2401,19.5,73,1,2
110,111,4,108,94,2379,16.5,73,3,2
111,112,3,70,90,2124,13.5,73,3,1
112,113,4,122,85,2310,18.5,73,1,1
113,114,6,155,107,2472,14,73,1,2
114,115,4,98,90,2265,15.5,73,2,3
115,116,8,350,145,4082,13,73,1,1
116,117,8,400,230,4278,9.5,73,1,1
117,118,4,68,49,1867,19.5,73,2,3
118,119,4,116,75,2158,15.5,73,2,2
119,120,4,114,91,2582,14,73,2,2
120,121,4,121,112,2868,15.5,73,2,1
121,122,8,318,150,3399,11,73,1,1
122,123,4,121,110,2660,14,73,2,2
123,124,6,156,122,2807,13.5,73,3,2
124,125,8,350,180,3664,11,73,1,0
125,126,6,198,95,3102,16.5,74,1,2
127,128,6,232,100,2901,16,74,1,1
128,129,6,250,100,3336,17,74,1,1
129,130,4,79,67,1950,19,74,3,4
130,131,4,122,80,2451,16.5,74,1,3
131,132,4,71,65,1836,21,74,3,4
132,133,4,140,75,2542,17,74,1,3
133,134,6,250,100,3781,17,74,1,1
134,135,6,258,110,3632,18,74,1,1
135,136,6,225,105,3613,16.5,74,1,1
136,137,8,302,140,4141,14,74,1,1
137,138,8,350,150,4699,14.5,74,1,0
138,139,8,318,150,4457,13.5,74,1,0
139,140,8,302,140,4638,16,74,1,0
140,141,8,304,150,4257,15.5,74,1,0
141,142,4,98,83,2219,16.5,74,2,3
142,143,4,79,67,1963,15.5,74,2,3
143,144,4,97,78,2300,14.5,74,2,3
144,145,4,76,52,1649,16.5,74,3,4
145,146,4,83,61,2003,19,74,3,4
146,147,4,90,75,2125,14.5,74,1,3
147,148,4,90,75,2108,15.5,74,2,2
148,149,4,116,75,2246,14,74,2,3
149,150,4,120,97,2489,15,74,3,2
150,151,4,108,93,2391,15.5,74,3,3
151,152,4,79,67,2000,16,74,2,4
152,153,6,225,95,3264,16,75,1,1
153,154,6,250,105,3459,16,75,1,1
154,155,6,250,72,3432,21,75,1,1
155,156,6,250,72,3158,19.5,75,1,1
156,157,8,400,170,4668,11.5,75,1,1
157,158,8,350,145,4440,14,75,1,1
158,159,8,318,150,4498,14.5,75,1,1
159,160,8,351,148,4657,13.5,75,1,0
160,161,6,231,110,3907,21,75,1,1
161,162,6,250,105,3897,18.5,75,1,1
162,163,6,258,110,3730,19,75,1,1
163,164,6,225,95,3785,19,75,1,1
164,165,6,231,110,3039,15,75,1,2
165,166,8,262,110,3221,13.5,75,1,2
166,167,8,302,129,3169,12,75,1,0
167,168,4,97,75,2171,16,75,3,3
168,169,4,140,83,2639,17,75,1,2
169,170,6,232,100,2914,16,75,1,2
170,171,4,140,78,2592,18.5,75,1,2
171,172,4,134,96,2702,13.5,75,3,2
172,173,4,90,71,2223,16.5,75,2,3
173,174,4,119,97,2545,17,75,3,2
174,175,6,171,97,2984,14.5,75,1,1
175,176,4,90,70,1937,14,75,2,3
176,177,6,232,90,3211,17,75,1,1
177,178,4,115,95,2694,15,75,2,2
178,179,4,120,88,2957,17,75,2,2
179,180,4,121,98,2945,14.5,75,2,2
180,181,4,121,115,2671,13.5,75,2,3
181,182,4,91,53,1795,17.5,75,3,4
182,183,4,107,86,2464,15.5,76,2,3
183,184,4,116,81,2220,16.9,76,2,3
184,185,4,140,92,2572,14.9,76,1,3
185,186,4,98,79,2255,17.7,76,1,3
186,187,4,101,83,2202,15.3,76,2,3
187,188,8,305,140,4215,13,76,1,1
188,189,8,318,150,4190,13,76,1,1
189,190,8,304,120,3962,13.9,76,1,1
190,191,8,351,152,4215,12.8,76,1,0
191,192,6,225,100,3233,15.4,76,1,2
192,193,6,250,105,3353,14.5,76,1,2
193,194,6,200,81,3012,17.6,76,1,2
194,195,6,232,90,3085,17.6,76,1,2
195,196,4,85,52,2035,22.2,76,1,3
196,197,4,98,60,2164,22.1,76,1,2
197,198,4,90,70,1937,14.2,76,2,3
198,199,4,91,53,1795,17.4,76,3,4
199,200,6,225,100,3651,17.7,76,1,2
200,201,6,250,78,3574,21,76,1,1
201,202,6,250,110,3645,16.2,76,1,1
202,203,6,258,95,3193,17.8,76,1,1
203,204,4,97,71,1825,12.2,76,2,3
204,205,4,85,70,1990,17,76,3,4
205,206,4,97,75,2155,16.4,76,3,3
206,207,4,140,72,2565,13.6,76,1,3
207,208,4,130,102,3150,15.7,76,2,2
208,209,8,318,150,3940,13.2,76,1,0
209,210,4,120,88,3270,21.9,76,2,1
210,211,6,156,108,2930,15.5,76,3,1
211,212,6,168,120,3820,16.7,76,2,1
212,213,8,350,180,4380,12.1,76,1,1
213,214,8,350,145,4055,12,76,1,0
214,215,8,302,130,3870,15,76,1,0
215,216,8,318,150,3755,14,76,1,0
216,217,4,98,68,2045,18.5,77,3,4
217,218,4,111,80,2155,14.8,77,1,4
218,219,4,79,58,1825,18.6,77,2,5
219,220,4,122,96,2300,15.5,77,1,3
220,221,4,85,70,1945,16.8,77,3,4
221,222,8,305,145,3880,12.5,77,1,1
222,223,8,260,110,4060,19,77,1,1
223,224,8,318,145,4140,13.7,77,1,1
224,225,8,302,130,4295,14.9,77,1,1
225,226,6,250,110,3520,16.4,77,1,1
226,227,6,231,105,3425,16.9,77,1,2
227,228,6,225,100,3630,17.7,77,1,1
228,229,6,250,98,3525,19,77,1,1
229,230,8,400,180,4220,11.1,77,1,1
230,231,8,350,170,4165,11.4,77,1,1
231,232,8,400,190,4325,12.2,77,1,1
232,233,8,351,149,4335,14.5,77,1,1
233,234,4,97,78,1940,14.5,77,2,3
234,235,4,151,88,2740,16,77,1,2
235,236,4,97,75,2265,18.2,77,3,3
236,237,4,140,89,2755,15.8,77,1,3
237,238,4,98,63,2051,17,77,1,4
238,239,4,98,83,2075,15.9,77,1,4
239,240,4,97,67,1985,16.4,77,3,4
240,241,4,97,78,2190,14.1,77,2,4
241,242,6,146,97,2815,14.5,77,3,2
242,243,4,121,110,2600,12.8,77,2,2
243,244,3,80,110,2720,13.5,77,3,2
244,245,4,90,48,1985,21.5,78,2,5
245,246,4,98,66,1800,14.4,78,1,5
246,247,4,78,52,1985,19.4,78,3,4
247,248,4,85,70,2070,18.6,78,3,5
248,249,4,91,60,1800,16.4,78,3,5
249,250,8,260,110,3365,15.5,78,1,1
250,251,8,318,140,3735,13.2,78,1,1
251,252,8,302,139,3570,12.8,78,1,2
252,253,6,231,105,3535,19.2,78,1,1
253,254,6,200,95,3155,18.2,78,1,2
254,255,6,200,85,2965,15.8,78,1,2
255,256,4,140,88,2720,15.4,78,1,3
256,257,6,225,100,3430,17.2,78,1,2
257,258,6,232,90,3210,17.2,78,1,1
258,259,6,231,105,3380,15.8,78,1,2
259,260,6,200,85,3070,16.7,78,1,2
260,261,6,225,110,3620,18.7,78,1,1
261,262,6,258,120,3410,15.1,78,1,1
262,263,8,305,145,3425,13.2,78,1,1
263,264,6,231,165,3445,13.4,78,1,1
264,265,8,302,139,3205,11.2,78,1,1
265,266,8,318,140,4080,13.7,78,1,1
266,267,4,98,68,2155,16.5,78,1,4
267,268,4,134,95,2560,14.2,78,3,3
268,269,4,119,97,2300,14.7,78,3,3
269,270,4,105,75,2230,14.5,78,1,4
270,271,4,134,95,2515,14.8,78,3,2
271,272,4,156,105,2745,16.7,78,1,2
272,273,4,151,85,2855,17.6,78,1,2
273,274,4,119,97,2405,14.9,78,3,2
274,275,5,131,103,2830,15.9,78,2,2
275,276,6,163,125,3140,13.6,78,2,1
276,277,4,121,115,2795,15.7,78,2,2
277,278,6,163,133,3410,15.8,78,2,1
278,279,4,89,71,1990,14.9,78,2,4
279,280,4,98,68,2135,16.6,78,3,3
280,281,6,231,115,3245,15.4,79,1,2
281,282,6,200,85,2990,18.2,79,1,1
282,283,4,140,88,2890,17.3,79,1,2
283,284,6,232,90,3265,18.2,79,1,2
284,285,6,225,110,3360,16.6,79,1,2
285,286,8,305,130,3840,15.4,79,1,1
286,287,8,302,129,3725,13.4,79,1,1
287,288,8,351,138,3955,13.2,79,1,1
288,289,8,318,135,3830,15.2,79,1,1
289,290,8,350,155,4360,14.9,79,1,1
290,291,8,351,142,4054,14.3,79,1,1
291,292,8,267,125,3605,15,79,1,1
292,293,8,360,150,3940,13,79,1,1
293,294,4,89,71,1925,14,79,2,4
294,295,4,86,65,1975,15.2,79,3,4
295,296,4,98,80,1915,14.4,79,1,5
296,297,4,121,80,2670,15,79,1,3
297,298,5,183,77,3530,20.1,79,2,3
298,299,8,350,125,3900,17.4,79,1,2
299,300,4,141,71,3190,24.8,79,2,3
300,301,8,260,90,3420,22.2,79,1,2
301,302,4,105,70,2200,13.2,79,1,4
302,303,4,105,70,2150,14.9,79,1,4
303,304,4,85,65,2020,19.2,79,3,4
304,305,4,91,69,2130,14.7,79,2,5
305,306,4,151,90,2670,16,79,1,3
306,307,6,173,115,2595,11.3,79,1,3
307,308,6,173,115,2700,12.9,79,1,3
308,309,4,151,90,2556,13.2,79,1,4
309,310,4,98,76,2144,14.7,80,2,5
310,311,4,89,60,1968,18.8,80,3,5
311,312,4,98,70,2120,15.5,80,1,4
312,313,4,86,65,2019,16.4,80,3,5
313,314,4,151,90,2678,16.5,80,1,3
314,315,4,140,88,2870,18.1,80,1,3
315,316,4,151,90,3003,20.1,80,1,2
316,317,6,225,90,3381,18.7,80,1,1
317,318,4,97,78,2188,15.8,80,2,4
318,319,4,134,90,2711,15.5,80,3,3
319,320,4,120,75,2542,17.5,80,3,4
320,321,4,119,92,2434,15,80,3,5
321,322,4,108,75,2265,15.2,80,3,4
322,323,4,86,65,2110,17.9,80,3,5
323,324,4,156,105,2800,14.4,80,1,3
324,325,4,85,65,2110,19.2,80,3,5
325,326,4,90,48,2085,21.7,80,2,5
326,327,4,90,48,2335,23.7,80,2,5
327,328,5,121,67,2950,19.9,80,2,5
328,329,4,146,67,3250,21.8,80,2,4
329,330,4,91,67,1850,13.8,80,3,5
331,332,4,97,67,2145,18,80,3,4
332,333,4,89,62,1845,15.3,80,2,3
333,334,6,168,132,2910,11.4,80,3,4
334,335,3,70,100,2420,12.5,80,3,2
335,336,4,122,88,2500,15.1,80,2,5
337,338,4,107,72,2290,17,80,3,4
338,339,4,135,84,2490,15.7,81,1,3
339,340,4,151,84,2635,16.4,81,1,3
340,341,4,156,92,2620,14.4,81,1,3
341,342,6,173,110,2725,12.6,81,1,2
342,343,4,135,84,2385,12.9,81,1,4
343,344,4,79,58,1755,16.9,81,3,5
344,345,4,86,64,1875,16.4,81,1,5
345,346,4,81,60,1760,16.1,81,3,5
346,347,4,97,67,2065,17.8,81,3,4
347,348,4,85,65,1975,19.4,81,3,5
348,349,4,89,62,2050,17.3,81,3,5
349,350,4,91,68,1985,16,81,3,4
350,351,4,105,63,2215,14.9,81,1,4
351,352,4,98,65,2045,16.2,81,1,4
352,353,4,98,65,2380,20.7,81,1,3
353,354,4,105,74,2190,14.2,81,2,4
355,356,4,107,75,2210,14.4,81,3,4
356,357,4,108,75,2350,16.8,81,3,4
357,358,4,119,100,2615,14.8,81,3,4
358,359,4,120,74,2635,18.3,81,3,4
359,360,4,141,80,3230,20.4,81,2,3
360,361,6,145,76,3160,19.6,81,2,4
361,362,6,168,116,2900,12.6,81,3,3
362,363,6,146,120,2930,13.8,81,3,2
363,364,6,231,110,3415,15.8,81,1,2
364,365,8,350,105,3725,19,81,1,3
365,366,6,200,88,3060,17.1,81,1,2
366,367,6,225,85,3465,16.6,81,1,1
367,368,4,112,88,2605,19.6,82,1,3
368,369,4,112,88,2640,18.6,82,1,3
369,370,4,112,88,2395,18,82,1,4
370,371,4,112,85,2575,16.2,82,1,4
371,372,4,135,84,2525,16,82,1,3
372,373,4,151,90,2735,18,82,1,3
373,374,4,140,92,2865,16.4,82,1,2
375,376,4,105,74,1980,15.3,82,2,5
376,377,4,91,68,2025,18.2,82,3,5
377,378,4,91,68,1970,17.6,82,3,4
378,379,4,105,63,2125,14.7,82,1,5
379,380,4,98,70,2125,17.3,82,1,5
380,381,4,120,88,2160,14.5,82,3,5
381,382,4,107,75,2205,14.5,82,3,5
382,383,4,108,70,2245,16.9,82,3,4
383,384,4,91,67,1965,15,82,3,5
384,385,4,91,67,1965,15.7,82,3,4
385,386,4,91,67,1995,16.2,82,3,5
386,387,6,181,110,2945,16.4,82,1,3
387,388,6,262,85,3015,17,82,1,5
388,389,4,156,92,2585,14.5,82,1,3
389,390,6,232,112,2835,14.7,82,1,2
390,391,4,144,96,2665,13.9,82,3,4
391,392,4,135,84,2370,13,82,1,5
392,393,4,151,90,2950,17.3,82,1,3
393,394,4,140,86,2790,15.6,82,1,3
394,395,4,97,52,2130,24.6,82,2,5
395,396,4,135,84,2295,11.6,82,1,4
396,397,4,120,79,2625,18.6,82,1,3
397,398,4,119,82,2720,19.4,82,1,4
